iter	Tweedie:variance_power=1.5
0	53.71033079
1	51.48713865
2	49.38696211
3	47.41164526
4	45.55066041
5	43.79481142
6	42.14750381
7	40.60139307
8	39.14112916
9	37.7761301
10	36.49485361
11	35.29569834
12	34.17298534
13	33.12371031
14	32.14603439
15	31.23405976
16	30.38141787
17	29.59310775
18	28.8590132
19	28.17727323
20	27.54647107
21	26.96260219
22	26.42581717
23	25.92962778
24	25.4692648
25	25.04827171
26	24.65691109
27	24.30013215
28	23.97168785
29	23.66949424
30	23.39322067
31	23.13986026
32	22.90771753
33	22.69753481
34	22.50632052
35	22.33022172
36	22.16976951
37	22.02088093
38	21.88581076
39	21.76277789
40	21.65334663
41	21.55154588
42	21.45860245
43	21.37409433
44	21.29840047
45	21.2302652
46	21.16653428
47	21.10866777
48	21.0569369
49	21.00921738
50	20.96575429
51	20.9270911
52	20.89133737
53	20.8593149
54	20.82992262
55	20.80198543
56	20.77739046
57	20.75401527
58	20.73437603
59	20.71636298
60	20.69918185
61	20.6840964
62	20.67001171
63	20.65641939
64	20.64442174
65	20.63402393
66	20.62373867
67	20.61388626
68	20.60454424
69	20.59710673
70	20.58886215
71	20.58201968
72	20.57568398
73	20.56993223
74	20.56418523
75	20.55895956
76	20.55286813
77	20.54854053
78	20.54391237
79	20.53993318
80	20.5356837
81	20.53216338
82	20.52950511
83	20.5263824
84	20.52249307
85	20.51994334
86	20.51725062
87	20.51460358
88	20.51115965
89	20.5083984
90	20.5069513
91	20.5041497
92	20.50136492
93	20.49970708
94	20.49766594
95	20.49583915
96	20.4933945
97	20.49144594
98	20.48985394
99	20.48780493
100	20.48663918
101	20.48588318
102	20.48324488
103	20.48206474
104	20.48133483
105	20.47892542
106	20.47855492
107	20.47771589
108	20.47651484
109	20.47503184
110	20.47403595
111	20.47280828
112	20.47157506
113	20.47008144
114	20.46925959
115	20.46853329
116	20.46777905
117	20.46675979
118	20.46534672
119	20.46434649
120	20.46300579
121	20.4613696
122	20.46094569
123	20.45978134
124	20.45911616
125	20.45806382
126	20.45696859
127	20.45559052
128	20.45472575
129	20.45270487
130	20.45069492
131	20.44938566
132	20.44741535
133	20.44564947
134	20.44451261
135	20.44376623
136	20.44193323
137	20.44032633
138	20.43858934
139	20.43726451
140	20.4361422
141	20.43555029
142	20.43452242
143	20.43366081
144	20.4323809
145	20.43168309
146	20.42935096
147	20.42887956
148	20.42874987
149	20.42765935
150	20.42604498
151	20.42546571
152	20.42442066
153	20.42266131
154	20.42212936
155	20.42030579
156	20.41925302
157	20.41744606
158	20.4164297
159	20.41497959
160	20.41367114
161	20.41208569
162	20.41140807
163	20.41073944
164	20.41018698
165	20.40834345
166	20.40631139
167	20.40549002
168	20.40436553
169	20.40321571
170	20.40210009
171	20.40027702
172	20.39900997
173	20.39793986
174	20.39645601
175	20.39551824
