iter	Passed	Remaining
0	10	8262
1	20	8229
2	31	8349
3	43	8584
4	55	8822
5	67	8874
6	80	9118
7	99	9830
8	115	10140
9	128	10188
10	142	10247
11	155	10242
12	170	10339
13	185	10413
14	201	10529
15	216	10606
16	230	10635
17	244	10618
18	258	10639
19	272	10620
20	289	10736
21	302	10703
22	317	10721
23	330	10691
24	345	10714
25	359	10701
26	374	10713
27	388	10703
28	402	10700
29	416	10680
30	430	10671
31	444	10659
32	459	10674
33	473	10667
34	488	10680
35	501	10649
36	519	10705
37	533	10691
38	547	10691
39	561	10673
40	576	10668
41	590	10652
42	605	10653
43	618	10624
44	632	10607
45	646	10600
46	660	10586
47	674	10567
48	688	10558
49	702	10537
50	716	10525
51	731	10524
52	746	10528
53	761	10513
54	776	10518
55	790	10499
56	805	10500
57	819	10482
58	832	10459
59	844	10412
60	859	10413
61	874	10408
62	889	10404
63	904	10396
64	919	10396
65	932	10369
66	946	10356
67	959	10332
68	975	10332
69	989	10323
70	1003	10308
71	1017	10286
72	1030	10265
73	1045	10261
74	1059	10241
75	1073	10225
76	1088	10224
77	1103	10217
78	1118	10206
79	1131	10186
80	1145	10169
81	1159	10155
82	1173	10134
83	1187	10126
84	1201	10108
85	1214	10084
86	1230	10081
87	1244	10067
88	1258	10053
89	1272	10041
90	1287	10033
91	1302	10025
92	1316	10010
93	1330	9995
94	1344	9979
95	1359	9970
96	1373	9952
97	1387	9941
98	1402	9931
99	1418	9928
100	1432	9912
101	1443	9879
102	1458	9871
103	1473	9859
104	1489	9860
105	1504	9850
106	1509	9773
107	1523	9759
108	1536	9743
109	1551	9731
110	1564	9712
111	1578	9693
112	1592	9684
113	1605	9660
114	1620	9655
115	1634	9640
116	1650	9632
117	1665	9625
118	1678	9605
119	1694	9599
120	1707	9579
121	1720	9563
122	1727	9506
123	1740	9488
124	1754	9473
125	1767	9456
126	1783	9452
127	1797	9436
128	1811	9420
129	1824	9402
130	1838	9390
131	1853	9378
132	1867	9365
133	1882	9355
134	1896	9340
135	1912	9337
136	1924	9313
137	1939	9305
138	1953	9290
139	1968	9281
140	1984	9276
141	1999	9266
142	2013	9251
143	2026	9233
144	2040	9218
145	2054	9201
146	2068	9189
147	2082	9175
148	2097	9162
149	2111	9150
150	2124	9130
151	2140	9126
152	2154	9110
153	2167	9093
154	2182	9081
155	2195	9065
156	2210	9051
157	2224	9038
158	2238	9023
159	2252	9008
160	2267	8999
161	2281	8983
162	2294	8966
163	2309	8956
164	2325	8949
165	2341	8941
166	2356	8932
167	2370	8916
168	2384	8903
169	2397	8886
170	2415	8885
171	2429	8872
172	2444	8858
173	2457	8842
174	2473	8832
175	2486	8817
